LIN_CLASSIFICATION_LINEAR,IfcExportAs,IfcExportType,PredefinedType_comment
Thermal.Generation.Boiler,IfcBoiler,WATER,Boiler gas/oil/pellets
Thermal.Generation.HeatPump,IfcUnitaryEquipment,AIRHANDLER,Heat pump (IFC4: no dedicated IfcHeatPump)
Thermal.Generation.Chiller,IfcChiller,AIRCOOLED,Air-cooled chiller
Thermal.Generation.ChillerWaterCooled,IfcChiller,WATERCOOLED,Water-cooled chiller
Thermal.Generation.SolarThermalCollector,IfcSolarDevice,SOLARCOLLECTOR,Solar-thermal collector
Thermal.Converter.Chiller,IfcChiller,NOTDEFINED,"Linear variant for chiller, sub-variant via Pset"
Thermal.Converter.CompactEnergyTransferStation,IfcUnitaryEquipment,AIRHANDLER,Fresh-water station as compact transfer station
Thermal.Movement.Pump,IfcPump,CIRCULATOR,Circulation pump
Thermal.Movement.PumpEndSuction,IfcPump,ENDSUCTION,End-suction centrifugal pump
Thermal.Storage.Tank,IfcTank,STORAGE,Buffer tank heating/cooling
Thermal.Storage.BufferStorage,IfcTank,STORAGE,Buffer tank (Linear variant)
Thermal.Storage.ExpansionTank,IfcTank,EXPANSION,Membrane expansion vessel (MEV)
Thermal.Distribution.Manifold,IfcDistributionChamberElement,NOTDEFINED,"Heating/cooling manifold (HZVT/KVT). IFC4 has no MANIFOLD predef, Pset reference clarifies"
Thermal.Distribution.RadiantHeatingAndCoolingManifold,IfcDistributionChamberElement,NOTDEFINED,Underfloor-heating manifold (VKF)
Thermal.Distribution.HeatExchanger,IfcHeatExchanger,PLATE,Plate heat exchanger
Thermal.Controller.TwoPortControlValve,IfcValve,REGULATING,2-port control valve
Thermal.Controller.ThreePortControlValve,IfcValve,MIXING,3-port mixing valve
Thermal.Controller.BalancingValve,IfcValve,REGULATING,Strand balancing valve
Thermal.Controller.IsolationValveBall,IfcValve,ISOLATING,Ball valve (shut-off)
Thermal.Controller.IsolationValveGate,IfcValve,ISOLATING,Gate valve
Thermal.Controller.SafetyValve,IfcValve,PRESSURERELIEF,Safety valve
Thermal.Controller.CheckValve,IfcValve,CHECK,Check valve
Thermal.Controller.ZoneValveMotor,IfcValve,MIXING,Motorized zone valve
Thermal.Controller.MagneticValve,IfcValve,ISOLATING,Solenoid valve (shut-off function)
Thermal.Terminal.Radiator,IfcSpaceHeater,RADIATOR,Radiator
Thermal.Terminal.UnderfloorHeating,IfcSpaceHeater,PANELRADIATOR,Underfloor heating panel
Thermal.Terminal.FanCoil,IfcUnitaryEquipment,FANCOILUNIT,Fan-coil convector (old name)
Thermal.Terminal.FanCoilUnit,IfcUnitaryEquipment,FANCOILUNIT,Fan-coil (current Linear name)
Thermal.Virtual.PartialNetworkStart,IfcVirtualElement,NOTDEFINED,Virtual Linear helper element (sub-network start)
Thermal.Virtual.PartialNetworkEnd,IfcVirtualElement,NOTDEFINED,Virtual Linear helper element (sub-network end)
Water.Generation.StorageWaterHeater,IfcTank,WATERHEATER,Drinking-water tank, direct
Water.Storage.StorageWaterHeaterIndirectHeating,IfcTank,WATERHEATER,Drinking-water tank, indirect (SAS)
Water.Storage.StorageColdWater,IfcTank,WATERSTORAGEHORIZONTAL,Cold-water tank
Water.Converter.FreshWaterStation,IfcUnitaryEquipment,AIRHANDLER,Fresh-water station
Water.Movement.Pump,IfcPump,CIRCULATOR,Drinking-water pump
Water.Movement.SewageLiftStation,IfcPump,SUMPPUMP,Sewage lift station
Water.Other.VentAndAirAdmittanceValve,IfcValve,AIRRELEASE,Pipe vent/air-admittance valve (sanitary)
Water.Controller.CirculationBalancingValve,IfcValve,REGULATING,Circulation balancing valve
Water.Controller.ShutOffValve,IfcValve,ISOLATING,Shut-off valve
Water.Safety.BackflowPreventer,IfcValve,CHECK,System separator / backflow preventer
Water.Terminal.Tap,IfcSanitaryTerminal,WASHHANDBASIN,Washbasin tap (mixer)
Water.Terminal.MixerShower,IfcSanitaryTerminal,SHOWER,Shower mixer fitting
Water.Terminal.Shower,IfcSanitaryTerminal,SHOWER,Shower
Water.Terminal.ToiletWithCistern,IfcSanitaryTerminal,TOILETPAN,WC with cistern
Water.Terminal.Washbasin,IfcSanitaryTerminal,WASHHANDBASIN,Washbasin
Water.Terminal.Bidet,IfcSanitaryTerminal,BIDET,Bidet
Water.Terminal.Sink,IfcSanitaryTerminal,SINK,Sink
Water.Terminal.KitchenSink,IfcSanitaryTerminal,SINK,Kitchen sink
Water.Terminal.Faucet,IfcSanitaryTerminal,WASHHANDBASIN,"Faucet (IFC4 has no FAUCET, workaround Washhandbasin)"
Water.Terminal.WashingMachine,IfcSanitaryTerminal,WASHHANDBASIN,Washing-machine connection (IFC4 has no WASHINGMACHINE)
Water.Terminal.Generic,IfcSanitaryTerminal,USERDEFINED,"Generic water endpoint, Pset clarifies"
Water.Connection.Bend,IfcPipeFitting,BEND,Pipe bend water
Water.Connection.Branch,IfcPipeFitting,JUNCTION,T-piece water
Water.Connection.DoubleBranch,IfcPipeFitting,JUNCTION,Double T-piece
Water.Connection.WallConnection,IfcPipeFitting,TRANSITION,Wall connection
Water.Connection.ReducingPart,IfcPipeFitting,TRANSITION,Reducer
